Jugadores,Goles,Temporada
Nosa Igiebor,1,2013-2014
Seydou Keita,1,2013-2014
Víctor Ruiz,1,2013-2014
Sebastián Fernández,1,2013-2014
Hassan Yebda,1,2013-2014
Oleksandr Yakovenko,1,2013-2014
Iñigo López,1,2013-2014
Guillermo Fernández,1,2013-2014
Cristian Săpunaru,1,2013-2014
Alberto Perea,1,2013-2014
Bartlomiej Pawlowski,1,2013-2014
Rúben Vezo,1,2013-2014
Carles Puyol,1,2013-2014
Riki,2,2013-2014
Eliseu,2,2013-2014
Javi Márquez,2,2013-2014
Asier Illarramendi,2,2013-2014
Rubén García,2,2013-2014
Moi Gómez,2,2013-2014
Daniel Carvajal,2,2013-2014
Fidel,2,2013-2014
Loukas Vyntra,2,2013-2014
David López,2,2013-2014
Miranda,2,2013-2014
Ramon Azeez,2,2013-2014
Haris Seferovic,2,2013-2014
Joan Verdú,2,2013-2014
Sergio Escudero,2,2013-2014
Saúl Ñíguez,2,2013-2014
Augusto Fernández,2,2013-2014
Sergio Canales,2,2013-2014
Manu Trigueros,2,2013-2014
Xabi Prieto,2,2013-2014
Álvaro Cejudo,2,2013-2014
Fran Rico,2,2013-2014
Duda,2,2013-2014
Nordin Amrabat,2,2013-2014
Dani Alves,2,2013-2014
Sergi Darder,2,2013-2014
Chory Castro,2,2013-2014
Oier Sanjurjo,2,2013-2014
Carlos Gurpegui,2,2013-2014
Gerard Piqué,2,2013-2014
Javi Chica,2,2013-2014
Ion Ansotegi,2,2013-2014
Federico Fazio,2,2013-2014
Alejandro Gálvez,2,2013-2014
Manu del Moral,2,2013-2014
Tiago Mendes,2,2013-2014
Miku,2,2013-2014
Tomás Pina,2,2013-2014
Iñigo Martínez,2,2013-2014
Aymeric Laporte,2,2013-2014
Recio,2,2013-2014
Santi Mina,2,2013-2014
Javi Fuego,2,2013-2014
Ángel Rodríguez,2,2013-2014
Daniel Carriço,2,2013-2014
Odion Ighalo,2,2013-2014
Nery Castillo,2,2013-2014
Ricardo Costa,3,2013-2014
Alberto Moreno,3,2013-2014
Eduardo Vargas,3,2013-2014
Rubén Rochina,3,2013-2014
Edu Albacar,3,2013-2014
Cristian Herrera,3,2013-2014
Lisandro López,3,2013-2014
Pizzi,3,2013-2014
Jérémy Mathieu,3,2013-2014
Mounir El Hamdaoui,3,2013-2014
Baba,3,2013-2014
Francisco Portillo,3,2013-2014
Xavi,3,2013-2014
Coke,3,2013-2014
Daniel Larsson,3,2013-2014
Vicente Iborra,3,2013-2014
Manucho,3,2013-2014
Dorlan Pabón,3,2013-2014
Hélder Postiga,3,2013-2014
Javi Acuña,3,2013-2014
Thievy Bifouma,3,2013-2014
Adriano,3,2013-2014
Iago Falque,3,2013-2014
Yacine Brahimi,3,2013-2014
Stéphane Mbia,3,2013-2014
Arda Turan,3,2013-2014
Patrick Ebert,3,2013-2014
Andreas Ivanschitz,3,2013-2014
Cani,3,2013-2014
Gabi,3,2013-2014
Suso,3,2013-2014
Andrés Iniesta,3,2013-2014
Rubén Pardo,3,2013-2014
Humberto Osorio,4,2013-2014
Juanmi,4,2013-2014
Óscar Díaz,4,2013-2014
Diego Godín,4,2013-2014
Adrián Colunga,4,2013-2014
Diego Colotto,4,2013-2014
Sergio Ramos,4,2013-2014
Víctor Sánchez,4,2013-2014
Pape Diop,4,2013-2014
Jairo Samperio,4,2013-2014
Samu García,4,2013-2014
Jhon Córdoba,4,2013-2014
Nabil El Zhar,4,2013-2014
Emiliano Armenteros,4,2013-2014
Salva Sevilla,4,2013-2014
Pepe,4,2013-2014
Vitolo,4,2013-2014
Dani Parejo,4,2013-2014
Fernando Soriano,4,2013-2014
Rafinha,4,2013-2014
Jonathan Pereira,4,2013-2014
Sofiane Feghouli,4,2013-2014
Ángel Di María,4,2013-2014
Mikel San José,5,2013-2014
Piti,5,2013-2014
Álex López,5,2013-2014
Ignacio Camacho,5,2013-2014
Mikel Rico,5,2013-2014
Óscar de Marcos,5,2013-2014
Pablo Piatti,5,2013-2014
Jesé,5,2013-2014
Roberto Torres,5,2013-2014
Jonathan Viera,5,2013-2014
Ander Herrera,5,2013-2014
Fabián Orellana,5,2013-2014
Ferrán Corominas,5,2013-2014
Bruno Soriano,6,2013-2014
Paco Alcácer,6,2013-2014
Richmond Boakye,6,2013-2014
Koke,6,2013-2014
Markel Susaeta,6,2013-2014
Aleix Vidal,6,2013-2014
Cristhian Stuani,6,2013-2014
Ciprian Marica,6,2013-2014
Roque Santa Cruz,6,2013-2014
Iker Muniain,7,2013-2014
David Barral,7,2013-2014
Ángel Lafita,7,2013-2014
Pedro León,7,2013-2014
Álvaro Morata,8,2013-2014
Ibai Gómez,8,2013-2014
Rodri Ríos,8,2013-2014
Imanol Agirretxe,8,2013-2014
Verza,8,2013-2014
Isco,8,2013-2014
Cesc Fàbregas,8,2013-2014
Jorge Molina,9,2013-2014
Raúl García,9,2013-2014
Neymar,9,2013-2014
Jonas,10,2013-2014
Rubén Castro,10,2013-2014
Jérémy Perbet,10,2013-2014
Alberto Bueno,11,2013-2014
Giovani dos Santos,11,2013-2014
Youssef El Arabi,12,2013-2014
Charles,12,2013-2014
Joaquín Larrivey,12,2013-2014
Sergio García,12,2013-2014
Ivan Rakitic,12,2013-2014
Oriol Riera,13,2013-2014
David Villa,13,2013-2014
Ikechukwu Uche,14,2013-2014
Nolito,14,2013-2014
Carlos Bacca,14,2013-2014
Javi Guerra,15,2013-2014
Kévin Gameiro,15,2013-2014
Pedro,15,2013-2014
Gareth Bale,15,2013-2014
Antoine Griezmann,16,2013-2014
Aritz Aduriz,16,2013-2014
Carlos Vela,16,2013-2014
Karim Benzema,17,2013-2014
Alexis Sánchez,19,2013-2014
Diego Costa,27,2013-2014
Lionel Messi,28,2013-2014
Cristiano Ronaldo,31,2013-2014
Nabil El Zhar,1,2014-2015
Antunes,1,2014-2015
Juanfran Moreno,1,2014-2015
Damián Suárez,1,2014-2015
Allan Nyom,1,2014-2015
Manu Trigueros,1,2014-2015
Ricardo Horta,1,2014-2015
Alexis Ruano,1,2014-2015
Anaitz Arbilla,1,2014-2015
Simão,1,2014-2015
Emiliano Velázquez,1,2014-2015
Nicolás Pareja,1,2014-2015
Paco Montañés,1,2014-2015
Fidel,1,2014-2015
Rafinha,1,2014-2015
Jozabed Sánchez,1,2014-2015
Andoni Iraola,1,2014-2015
Abraham González,1,2014-2015
Lucas Orbán,1,2014-2015
Baba,1,2014-2015
Héctor Moreno,1,2014-2015
Iñaki Williams,1,2014-2015
Isaac Success,1,2014-2015
Luso,1,2014-2015
Hélder Postiga,1,2014-2015
Patrick Ekeng,1,2014-2015
Munir El Haddadi,1,2014-2015
Carles Gil,1,2014-2015
Borja Viguera,1,2014-2015
Raúl Jiménez,1,2014-2015
Ibai Gómez,1,2014-2015
Aritz Elustondo,1,2014-2015
Gustavo Cabral,1,2014-2015
Álvaro González,1,2014-2015
Théo Bongonda,1,2014-2015
Ager Aketxe,1,2014-2015
Diogo Salomão,1,2014-2015
Xisco,1,2014-2015
Míchel Herrero,1,2014-2015
Rafael Martins,1,2014-2015
Jorge Morcillo,1,2014-2015
Nacho Fernández,1,2014-2015
Pablo Hervías,1,2014-2015
Joel Campbell,1,2014-2015
Borja Fernández,1,2014-2015
Timothée Kolodziejczak,1,2014-2015
Antonio Amaya,1,2014-2015
Gorka Elustondo,1,2014-2015
Mario Suárez,1,2014-2015
Luis Fariña,1,2014-2015
Juan Domínguez,1,2014-2015
Diego Colotto,1,2014-2015
Carlos Gurpegui,1,2014-2015
Álex López,1,2014-2015
Duda,1,2014-2015
Cristian Herrera,1,2014-2015
Hugo Mallo,1,2014-2015
Daniel Carriço,1,2014-2015
Jaume Costa,1,2014-2015
Mauro dos Santos,1,2014-2015
Markel Bergara,1,2014-2015
Augusto Fernández,1,2014-2015
Jean-Sylvain Babin,1,2014-2015
Juan Rodríguez,1,2014-2015
Michael Krohn-Dehli,1,2014-2015
Antonio Barragán,1,2014-2015
Fayçal Fajr,1,2014-2015
Samu Castillejo,1,2014-2015
Álvaro Arbeloa,1,2014-2015
Roberto Trashorras,1,2014-2015
Javi Lara,1,2014-2015
Rodrigo De Paul,1,2014-2015
Diogo Figueiras,1,2014-2015
Sammir,1,2014-2015
Luka Modrić,1,2014-2015
Óscar de Marcos,1,2014-2015
Piti,1,2014-2015
Recio,1,2014-2015
Borja García,1,2014-2015
Jordi Alba,1,2014-2015
Giovani dos Santos,1,2014-2015
Andreas Ivanschitz,1,2014-2015
José María Giménez,1,2014-2015
Marc Bartra,1,2014-2015
Dani García,1,2014-2015
Sergio Busquets,1,2014-2015
Rubén García,1,2014-2015
Pedro Mosquera,1,2014-2015
Guilherme Siqueira,1,2014-2015
Iker Muniain,1,2014-2015
Emiliano Insúa,1,2014-2015
Alberto de la Bella,1,2014-2015
Markel Susaeta,1,2014-2015
José Gayà,1,2014-2015
Rubén Pardo,1,2014-2015
Abraham Minero,1,2014-2015
Gerard Deulofeu,1,2014-2015
Xavi,2,2014-2015
Sergio Escudero,2,2014-2015
Denis Suárez,2,2014-2015
Fredy Hinestroza,2,2014-2015
Coke,2,2014-2015
Eneko Bóveda,2,2014-2015
Isaac Cuenca,2,2014-2015
Toni Kroos,2,2014-2015
Arda Turan,2,2014-2015
Pablo Sarabia,2,2014-2015
Pedro León,2,2014-2015
Koke,2,2014-2015
Marcelo,2,2014-2015
Mehdi Lacen,2,2014-2015
Pepe,2,2014-2015
Jonathan dos Santos,2,2014-2015
Pablo Hernández,2,2014-2015
Garry Rodrigues,2,2014-2015
Ignacio Camacho,2,2014-2015
Víctor Camarasa,2,2014-2015
Bruno Soriano,2,2014-2015
José Rodríguez,2,2014-2015
Alfred Finnbogason,2,2014-2015
Iñigo Martínez,2,2014-2015
Raúl Albentosa,2,2014-2015
Rubén Rochina,2,2014-2015
Alberto Lopo,2,2014-2015
Iago Aspas,2,2014-2015
Ángel Lafita,2,2014-2015
Luis Alberto,2,2014-2015
Javier Espinosa,2,2014-2015
Sandro Ramírez,2,2014-2015
Xabi Etxeita,2,2014-2015
Haris Medunjanin,2,2014-2015
Ander Iturraspe,2,2014-2015
Raúl Navas,2,2014-2015
Jérémy Mathieu,2,2014-2015
Raúl Baena,2,2014-2015
Jonathan Zongo,2,2014-2015
Grzegorz Krychowiak,2,2014-2015
Miku,2,2014-2015
Michel Macedo,2,2014-2015
David Zurutuza,2,2014-2015
Diego Godín,3,2014-2015
Mario Pasalić,3,2014-2015
Diego Maínz,3,2014-2015
Éver Banega,3,2014-2015
Celso Borges,3,2014-2015
Mario Gaspar,3,2014-2015
Ivan Cavaleiro,3,2014-2015
Víctor Sánchez,3,2014-2015
Mikel Rico,3,2014-2015
Adrián Embarba,3,2014-2015
Edu Albacar,3,2014-2015
Charles,3,2014-2015
Saúl Berjón,3,2014-2015
Lucas Vázquez,3,2014-2015
José Antonio Reyes,3,2014-2015
Rodrigo,3,2014-2015
Diego Castro,3,2014-2015
Jesé,3,2014-2015
Fernando Torres,3,2014-2015
Miranda,3,2014-2015
Javi Fuego,3,2014-2015
José Luis Morales,3,2014-2015
Beñat Etxebarria,3,2014-2015
Mateo Musacchio,3,2014-2015
Manu del Moral,3,2014-2015
Fernando Soriano,3,2014-2015
Fran Rico,3,2014-2015
Ander Capa,3,2014-2015
Roque Santa Cruz,3,2014-2015
Chory Castro,4,2014-2015
Fede Cartabia,4,2014-2015
Sergio Canales,4,2014-2015
Moi Gómez,4,2014-2015
Jhon Córdoba,4,2014-2015
Thomas Partey,4,2014-2015
Sergi Darder,4,2014-2015
Xabi Prieto,4,2014-2015
Aleix Vidal,4,2014-2015
Denis Cheryshev,4,2014-2015
Isco,4,2014-2015
Thievy Bifouma,4,2014-2015
Víctor Rodríguez,4,2014-2015
Verza,4,2014-2015
Saúl Ñíguez,4,2014-2015
Shkodran Mustafi,4,2014-2015
André Gomes,4,2014-2015
Edgar Méndez,4,2014-2015
Sergio Ramos,4,2014-2015
Stéphane Mbia,4,2014-2015
Rober Ibáñez,4,2014-2015
Oriol Riera,4,2014-2015
Toché,4,2014-2015
Karim Yoda,4,2014-2015
Gaël Kakuta,5,2014-2015
Ivan Rakitic,5,2014-2015
Fabián Orellana,5,2014-2015
Javi Guerra,5,2014-2015
Federico Piovaccari,5,2014-2015
Samu García,5,2014-2015
Manucho,5,2014-2015
Tiago Mendes,5,2014-2015
Álvaro Negredo,5,2014-2015
Raúl García,5,2014-2015
Kalu Uche,5,2014-2015
Mikel San José,5,2014-2015
Florin Andone,5,2014-2015
David Lombán,5,2014-2015
Gerard Piqué,5,2014-2015
Ikechukwu Uche,6,2014-2015
Vitolo,6,2014-2015
Lucas Pérez,6,2014-2015
Pedro,6,2014-2015
Sofiane Feghouli,6,2014-2015
Nicolás Otamendi,6,2014-2015
Nordin Amrabat,6,2014-2015
Álvaro Vázquez,7,2014-2015
Vicente Iborra,7,2014-2015
Léo Baptistão,7,2014-2015
Pablo Piatti,7,2014-2015
Chicharito,7,2014-2015
Gerard Moreno,7,2014-2015
Santi Mina,7,2014-2015
Imanol Agirretxe,7,2014-2015
Nabil Ghilas,7,2014-2015
Youssef El Arabi,8,2014-2015
Víctor Casadesús,8,2014-2015
Juanmi,8,2014-2015
Tomer Hemed,8,2014-2015
Kévin Gameiro,8,2014-2015
Carlos Vela,9,2014-2015
Mikel Arruabarrena,9,2014-2015
Felipe Caicedo,9,2014-2015
Dani Parejo,11,2014-2015
Paco Alcácer,11,2014-2015
David Barral,11,2014-2015
Joaquín Larrivey,11,2014-2015
Luciano Vietto,12,2014-2015
Mario Mandžukić,12,2014-2015
Cristhian Stuani,12,2014-2015
Nolito,13,2014-2015
Gareth Bale,13,2014-2015
James Rodríguez,13,2014-2015
Sergio García,14,2014-2015
Jonathas,14,2014-2015
Karim Benzema,15,2014-2015
Luis Suárez,16,2014-2015
Alberto Bueno,17,2014-2015
Aritz Aduriz,18,2014-2015
Carlos Bacca,20,2014-2015
Neymar,22,2014-2015
Antoine Griezmann,22,2014-2015
Lionel Messi,43,2014-2015
Cristiano Ronaldo,48,2014-2015
Augusto Fernández,1,2015-2016
Zouhair Feddal,1,2015-2016
Samu Castillejo,1,2015-2016
José María Giménez,1,2015-2016
Duda,1,2015-2016
José Antonio Reyes,1,2015-2016
Raúl Baena,1,2015-2016
Jorge Molina,1,2015-2016
Juan Cala,1,2015-2016
Rubén García,1,2015-2016
Pepe,1,2015-2016
Coke,1,2015-2016
Vicente Gómez,1,2015-2016
Dimitri Foulquier,1,2015-2016
Mubarak Wakaso,1,2015-2016
Abraham González,1,2015-2016
Iñigo Lekue,1,2015-2016
Jaume Costa,1,2015-2016
Antonio Amaya,1,2015-2016
Sergio Escudero,1,2015-2016
Daniel Carriço,1,2015-2016
Joan Verdú,1,2015-2016
Federico Ricca,1,2015-2016
Aritz Elustondo,1,2015-2016
Simão,1,2015-2016
Iñigo Martínez,1,2015-2016
Pablo Fornals,1,2015-2016
Nacho Cases,1,2015-2016
Heiko Westermann,1,2015-2016
Petros,1,2015-2016
Juanfran Torres,1,2015-2016
Diego Godín,1,2015-2016
Joaquín,1,2015-2016
Jonny Otto,1,2015-2016
Hugo Mallo,1,2015-2016
Filipe Luís,1,2015-2016
João Cancelo,1,2015-2016
Pedro López,1,2015-2016
Markel Bergara,1,2015-2016
Hernán Santana,1,2015-2016
Diego González,1,2015-2016
Jon Bautista,1,2015-2016
Rafinha,1,2015-2016
Vincenzo Rennella,1,2015-2016
Mikel Arruabarrena,1,2015-2016
Antolín Alcaraz,1,2015-2016
Andreu Fontàs,1,2015-2016
Juan Muñoz,1,2015-2016
Joan Jordán,1,2015-2016
Adnane Tighadouini,1,2015-2016
Claudio Beauvue,1,2015-2016
Thomas Vermaelen,1,2015-2016
Gorka Elustondo,1,2015-2016
Mateo Musacchio,1,2015-2016
Carlos Vigaray,1,2015-2016
Óscar Duarte,1,2015-2016
Ricardo Costa,1,2015-2016
Carl Medjani,1,2015-2016
Dani Ndi,1,2015-2016
Edgar Méndez,1,2015-2016
Salva Sevilla,1,2015-2016
Alexis Ruano,1,2015-2016
Bernardo Espinosa,1,2015-2016
Emiliano Buendía,1,2015-2016
Roque Mesa,1,2015-2016
Asier Illarramendi,1,2015-2016
Jefferson Lerma,1,2015-2016
Álvaro Cejudo,1,2015-2016
Andrés Iniesta,1,2015-2016
Chory Castro,1,2015-2016
Gabi,1,2015-2016
Óscar de Marcos,1,2015-2016
Tito,1,2015-2016
Michael Krohn-Dehli,1,2015-2016
Burgui,1,2015-2016
Casemiro,1,2015-2016
Luciano Vietto,1,2015-2016
David Zurutuza,1,2015-2016
Zakaria Bakkali,1,2015-2016
Juanfran Moreno,1,2015-2016
Juankar,1,2015-2016
Mikel Rico,1,2015-2016
Ricky van Wolfswinkel,1,2015-2016
Charly Musonda Jr.,1,2015-2016
Tiago Mendes,1,2015-2016
Víctor Álvarez,1,2015-2016
David Simón,1,2015-2016
Sofiane Feghouli,1,2015-2016
Víctor Sánchez,1,2015-2016
Beñat Etxebarria,1,2015-2016
Toni Kroos,1,2015-2016
Sergio Ramos,2,2015-2016
Sergio Álvarez,2,2015-2016
Moi Gómez,2,2015-2016
Arda Turan,2,2015-2016
Mario Gaspar,2,2015-2016
Oriol Riera,2,2015-2016
Iker Muniain,2,2015-2016
Roque Santa Cruz,2,2015-2016
Ciro Immobile,2,2015-2016
Christian Atsu,2,2015-2016
Juan Manuel Vargas,2,2015-2016
Roberto Trashorras,2,2015-2016
Daniel Wass,2,2015-2016
Nabil El Zhar,2,2015-2016
André Gomes,2,2015-2016
Pedro León,2,2015-2016
Luka Modrić,2,2015-2016
Pablo Hernández,2,2015-2016
Danilo,2,2015-2016
Vitolo,2,2015-2016
Ander Capa,2,2015-2016
Piti,2,2015-2016
Samu García,2,2015-2016
Marcelo,2,2015-2016
Víctor Rodríguez,2,2015-2016
Víctor Camarasa,2,2015-2016
Mikel San José,2,2015-2016
Adrián Embarba,2,2015-2016
Rodrigo,2,2015-2016
Carlos Carmona,2,2015-2016
Verza,2,2015-2016
Isaac Cuenca,2,2015-2016
Gerard Piqué,2,2015-2016
Jackson Martínez,2,2015-2016
Javi Eraso,2,2015-2016
Marc Bartra,2,2015-2016
Thomas Partey,2,2015-2016
Zé Castro,2,2015-2016
Diego Reyes,2,2015-2016
Raúl Albentosa,2,2015-2016
Alfred N'Diaye,2,2015-2016
Alejandro Arribas,2,2015-2016
Enzo Roco,2,2015-2016
Bruma,2,2015-2016
Manu Trigueros,2,2015-2016
Théo Bongonda,2,2015-2016
Álex Bergantiños,2,2015-2016
Álex Menéndez,2,2015-2016
Álvaro Medrán,2,2015-2016
David García,2,2015-2016
Shkodran Mustafi,2,2015-2016
Ignacio Camacho,2,2015-2016
Miguel Ángel Guerrero,2,2015-2016
Diego Llorente,2,2015-2016
Isma López,2,2015-2016
Munir El Haddadi,3,2015-2016
Léo Baptistão,3,2015-2016
Pape Diop,3,2015-2016
Ángel Lafita,3,2015-2016
Markel Susaeta,3,2015-2016
Bebé,3,2015-2016
Gonzalo Escalante,3,2015-2016
Steven Nzonzi,3,2015-2016
Fran Rico,3,2015-2016
Denis Cheryshev,3,2015-2016
Jean-Sylvain Babin,3,2015-2016
Pedro Bigas,3,2015-2016
Germán Pezzella,3,2015-2016
Aymeric Laporte,3,2015-2016
Víctor Casadesús,3,2015-2016
Emiliano Velázquez,3,2015-2016
Keko Gontán,3,2015-2016
Pablo Hernández,3,2015-2016
Takashi Inui,3,2015-2016
Xabi Prieto,3,2015-2016
Fede Cartabia,3,2015-2016
Celso Borges,3,2015-2016
Isco,3,2015-2016
Alen Halilovic,3,2015-2016
Denis Suárez,4,2015-2016
Yevgen Konoplyanka,4,2015-2016
Lucas Vázquez,4,2015-2016
Adrián López,4,2015-2016
Saúl Ñíguez,4,2015-2016
Juanpi,4,2015-2016
Fernando Llorente,4,2015-2016
Santi Mina,4,2015-2016
Adrián González,4,2015-2016
Yannick Carrasco,4,2015-2016
Marco Asensio,4,2015-2016
Saúl Berjón,4,2015-2016
Manucho,4,2015-2016
Adalberto Peñaranda,5,2015-2016
Álvaro Negredo,5,2015-2016
Bruno Soriano,5,2015-2016
Álvaro Vázquez,5,2015-2016
Ángel Correa,5,2015-2016
Carlos Vela,5,2015-2016
Fayçal Fajr,5,2015-2016
Jesé,5,2015-2016
Jony,5,2015-2016
Sergio Araujo,5,2015-2016
Tana,5,2015-2016
Sabin Merino,5,2015-2016
Éver Banega,5,2015-2016
Roberto Soldado,5,2015-2016
Koke,5,2015-2016
Rubén Rochina,6,2015-2016
Luis Alberto,6,2015-2016
Giuseppe Rossi,6,2015-2016
Stefan Scepovic,6,2015-2016
Isaac Success,6,2015-2016
Mikel Oyarzabal,6,2015-2016
Fabián Orellana,7,2015-2016
Raúl García,7,2015-2016
José Luis Morales,7,2015-2016
Pablo Sarabia,7,2015-2016
Carlos Castro,7,2015-2016
John Guidetti,7,2015-2016
Jonathas,7,2015-2016
Vicente Iborra,7,2015-2016
James Rodríguez,7,2015-2016
Ivan Rakitic,7,2015-2016
Duje Cop,7,2015-2016
Gerard Moreno,7,2015-2016
Hernán Pérez,7,2015-2016
Dani Parejo,8,2015-2016
Iñaki Williams,8,2015-2016
Felipe Caicedo,8,2015-2016
Sergi Enrich,9,2015-2016
Miku,9,2015-2016
Deyverson,9,2015-2016
Willian José,9,2015-2016
Jozabed Sánchez,10,2015-2016
Jonathan Viera,10,2015-2016
Antonio Sanabria,11,2015-2016
Fernando Torres,11,2015-2016
Nolito,12,2015-2016
Charles,12,2015-2016
Cédric Bakambu,12,2015-2016
Javi Guerra,12,2015-2016
Imanol Agirretxe,13,2015-2016
Paco Alcácer,13,2015-2016
Iago Aspas,14,2015-2016
Youssef El Arabi,15,2015-2016
Kévin Gameiro,16,2015-2016
Lucas Pérez,17,2015-2016
Borja Bastón,18,2015-2016
Gareth Bale,19,2015-2016
Rubén Castro,19,2015-2016
Aritz Aduriz,20,2015-2016
Antoine Griezmann,22,2015-2016
Neymar,24,2015-2016
Karim Benzema,24,2015-2016
Lionel Messi,26,2015-2016
Cristiano Ronaldo,35,2015-2016
Luis Suárez,40,2015-2016
Carlos Fernández,1,2016-2017
Elderson,1,2016-2017
Álvaro Lemos,1,2016-2017
Nano Mesa,1,2016-2017
Andrew Hjulsager,1,2016-2017
Álex Bergantiños,1,2016-2017
Rodrigo Ely,1,2016-2017
Andreu Fontàs,1,2016-2017
Álvaro Cejudo,1,2016-2017
Sabin Merino,1,2016-2017
Youssef En-Nesyri,1,2016-2017
Mubarak Wakaso,1,2016-2017
Mariano Díaz,1,2016-2017
Lucas Pérez,1,2016-2017
Germán Pezzella,1,2016-2017
Diego Reyes,1,2016-2017
Javi Fuego,1,2016-2017
Martín Mantovani,1,2016-2017
Sidnei,1,2016-2017
Pablo Insua,1,2016-2017
Rubén Peña,1,2016-2017
Pablo Hernández,1,2016-2017
Samuel Umtiti,1,2016-2017
Stefan Savic,1,2016-2017
Raúl Navas,1,2016-2017
Nemanja Radoja,1,2016-2017
Víctor Ruiz,1,2016-2017
Nicolás Pareja,1,2016-2017
Raúl Albentosa,1,2016-2017
Víctor Sánchez,1,2016-2017
Darko Brasanac,1,2016-2017
Álvaro González,1,2016-2017
Víctor Díaz,1,2016-2017
Gaizka Toquero,1,2016-2017
Mikel Vesga,1,2016-2017
David García,1,2016-2017
Jean-Sylvain Babin,1,2016-2017
Luis Hernández,1,2016-2017
Zakaria Bakkali,1,2016-2017
José Gayà,1,2016-2017
Javier Mascherano,1,2016-2017
Roberto Rosales,1,2016-2017
Markel Susaeta,1,2016-2017
Marcelo Díaz,1,2016-2017
Goran Causic,1,2016-2017
Luka Modrić,1,2016-2017
Raphaël Varane,1,2016-2017
Danilo,1,2016-2017
Duda,1,2016-2017
Thomas Partey,1,2016-2017
Claudio Beauvue,1,2016-2017
Hiroshi Kiyotake,1,2016-2017
Dani García,1,2016-2017
Florian Lejeune,1,2016-2017
Mikel Balenziaga,1,2016-2017
Beñat Etxebarria,1,2016-2017
Antonio Luna,1,2016-2017
João Cancelo,1,2016-2017
Theo Hernández,1,2016-2017
Óscar de Marcos,1,2016-2017
Riza Durmisi,1,2016-2017
Denis Suárez,1,2016-2017
Carles Gil,1,2016-2017
Roque Mesa,1,2016-2017
Asier Illarramendi,1,2016-2017
Petros,1,2016-2017
Jaume Costa,1,2016-2017
Théo Bongonda,1,2016-2017
Chory Castro,1,2016-2017
Mateo Kovacic,1,2016-2017
Darwin Machís,1,2016-2017
Álex Berenguer,1,2016-2017
Jordi Alba,1,2016-2017
Carlos Clerc,1,2016-2017
Diego Rico,1,2016-2017
David García,1,2016-2017
David Lombán,1,2016-2017
Rubén Pardo,1,2016-2017
Mikel Rico,1,2016-2017
Sverrir Ingi Ingason,1,2016-2017
Dimitrios Siovas,1,2016-2017
Bruno González,1,2016-2017
Pape Cheikh,1,2016-2017
Fran Mérida,1,2016-2017
Felipe Gutiérrez,1,2016-2017
Miguel Olavide,1,2016-2017
Jérémy Mathieu,1,2016-2017
Tiago Mendes,1,2016-2017
Miguel Flaño,1,2016-2017
Felipe Caicedo,2,2016-2017
Dani Ceballos,2,2016-2017
Alexandre Pato,2,2016-2017
Javi Ontiveros,2,2016-2017
Cristiano Piccini,2,2016-2017
Samir Nasri,2,2016-2017
Alberto Bueno,2,2016-2017
Nacho Fernández,2,2016-2017
Gonzalo Escalante,2,2016-2017
Samu Castillejo,2,2016-2017
Jonathan dos Santos,2,2016-2017
Steven Nzonzi,2,2016-2017
Juankar,2,2016-2017
Burgui,2,2016-2017
Mikel Oyarzabal,2,2016-2017
Moi Gómez,2,2016-2017
Marcelo,2,2016-2017
Lucas Vázquez,2,2016-2017
Aymeric Laporte,2,2016-2017
Facundo Roncaglia,2,2016-2017
Eliaquim Mangala,2,2016-2017
Gerard Piqué,2,2016-2017
Isaac Cuenca,2,2016-2017
Diego Llorente,2,2016-2017
Unai López,2,2016-2017
Juanpi,2,2016-2017
Jonas Martin,2,2016-2017
Mateo García,2,2016-2017
Álvaro Medrán,2,2016-2017
Nenad Krsticic,2,2016-2017
Lacina Traoré,2,2016-2017
Jhon Mondragón,2,2016-2017
Alexis Ruano,2,2016-2017
David Timor,2,2016-2017
Jony,2,2016-2017
Hugo Mallo,2,2016-2017
Nacho Cases,2,2016-2017
Roberto Canella,2,2016-2017
Borja Viguera,2,2016-2017
Fran Rico,2,2016-2017
Rafael Borré,2,2016-2017
Adrián López,2,2016-2017
Pepe,2,2016-2017
Rubén Sobrino,2,2016-2017
Sergio Araujo,2,2016-2017
Ganso,2,2016-2017
Gaël Kakuta,2,2016-2017
Rober Ibáñez,2,2016-2017
Víctor Rodríguez,2,2016-2017
Jozabed Sánchez,2,2016-2017
Rafa Navarro,2,2016-2017
Marc Navarro,2,2016-2017
Aleix Vidal,2,2016-2017
Sergio Álvarez,2,2016-2017
Guilherme,2,2016-2017
Martín Montoya,2,2016-2017
Vicente Gómez,2,2016-2017
Zouhair Feddal,2,2016-2017
Víctor Laguardia,2,2016-2017
Aïssa Mandi,2,2016-2017
Jérémie Boga,2,2016-2017
Gustavo Cabral,2,2016-2017
Iñigo Lekue,2,2016-2017
Ezequiel Ponce,2,2016-2017
Arda Turan,3,2016-2017
Bebé,3,2016-2017
Diego Godín,3,2016-2017
Recio,3,2016-2017
Marco Asensio,3,2016-2017
Álex Alegría,3,2016-2017
André Gomes,3,2016-2017
David López,3,2016-2017
Fabián Orellana,3,2016-2017
Pione Sisto,3,2016-2017
Aleksandar Katai,3,2016-2017
Nico Gaitán,3,2016-2017
Iñigo Martínez,3,2016-2017
José Antonio Reyes,3,2016-2017
Takashi Inui,3,2016-2017
Joaquín,3,2016-2017
Momo,3,2016-2017
